iter	Passed	Remaining
832	66688	5363
833	66767	5283
834	66856	5204
835	66939	5124
836	67019	5044
837	67096	4964
838	67174	4883
839	67248	4803
840	67320	4722
841	67398	4642
842	67475	4562
843	67548	4481
844	67624	4401
845	67702	4321
846	67772	4240
847	67851	4160
848	67929	4080
849	68003	4000
850	68083	3920
851	68156	3839
852	68236	3759
853	68303	3679
854	68382	3599
855	68458	3518
856	68537	3438
857	68613	3358
858	68717	3279
859	68814	3200
860	68891	3120
861	68978	3040
862	69060	2960
863	69152	2881
864	69240	2801
865	69324	2721
866	69418	2642
867	69497	2562
868	69579	2482
869	69660	2402
870	69745	2322
871	69825	2242
872	69912	2162
873	69989	2082
874	70064	2001
875	70140	1921
876	70222	1841
877	70296	1761
878	70374	1681
879	70450	1601
880	70531	1521
881	70612	1441
882	70687	1360
883	70762	1280
884	70838	1200
885	70914	1120
886	70995	1040
887	71068	960
888	71142	880
889	71218	800
890	71290	720
891	71366	640
892	71439	559
893	71515	479
894	71596	399
895	71674	319
896	71751	239
897	71827	159
898	71903	79
899	71973	0
